ST,AGEP,COW,SCHL,SEX,WKHP,YOEP,ANC1P,DECADE,INDP,PINCP,POBP,RAC2P
6,41,1,21,1,40,1985,750,5,6390,48000,217,49
6,40,NA,21,2,NA,1995,750,6,NA,0,217,49
6,44,3,21,2,40,1985,750,5,9370,114000,217,49
6,47,1,21,1,40,1979,750,4,3190,85000,217,49
6,61,5,21,1,NA,2002,750,7,6370,0,217,49
6,58,1,20,2,16,1984,999,5,4390,5000,217,49
6,31,4,21,2,40,1983,750,5,7870,35504,217,49
6,72,NA,1,2,NA,2004,750,7,NA,9200,217,49
6,65,6,22,1,NA,1975,750,4,7470,7000,217,49
6,61,1,21,2,30,1975,750,4,7470,27400,217,49
6,56,9,19,1,NA,1983,750,5,9920,10700,217,49
6,50,4,20,2,40,1968,750,3,9470,50000,217,49
6,82,NA,22,1,NA,1967,750,3,NA,12900,217,49
6,55,7,21,2,35,1992,750,6,8680,70000,217,49
6,55,1,21,1,40,1992,750,6,6170,38000,217,49
6,29,1,21,1,35,1998,750,6,8180,70000,217,49
6,75,NA,24,1,NA,1955,750,2,NA,109600,217,49
6,70,NA,22,2,NA,1964,750,3,NA,47600,217,49
6,31,1,22,2,20,2006,750,7,7870,31000,217,49
6,49,7,21,1,50,1979,750,4,4170,36000,217,49
6,45,1,21,1,40,1999,750,6,7380,140000,217,49
6,41,NA,20,2,NA,1999,750,6,NA,0,217,49
6,14,NA,11,2,NA,1999,750,6,NA,NA,217,49
6,52,7,16,2,NA,1997,750,6,9070,4500,217,49
6,57,7,19,1,40,1981,750,5,9070,64500,217,49
6,36,1,19,2,80,1980,750,5,6870,12000,217,49
6,43,1,21,1,42,1972,750,4,6480,57100,217,49
6,55,6,19,2,20,1983,750,5,8980,8000,217,49
6,43,1,16,1,50,1986,750,5,8680,16800,217,49
6,44,1,20,2,20,1984,750,5,1680,20500,217,49
6,59,1,11,2,30,1976,750,4,8980,7800,217,49
6,59,NA,22,1,NA,1980,750,5,NA,4900,217,49
6,65,6,22,2,40,1990,750,6,6480,24000,217,49
6,59,1,16,2,24,1985,750,5,5070,7000,217,49
6,79,NA,16,2,NA,1968,750,3,NA,11400,217,49
6,64,2,23,1,12,1975,750,4,9160,58900,217,49
6,61,1,21,2,45,1981,750,5,8170,60000,217,49
6,19,NA,18,1,NA,2012,750,7,NA,0,217,49
6,29,1,16,1,50,2004,750,7,3990,52000,217,49
6,19,NA,16,1,NA,2013,750,7,NA,0,217,49
6,41,NA,16,2,NA,1986,750,5,NA,0,217,49
6,38,NA,19,2,NA,1976,750,4,NA,0,217,49
6,27,1,21,1,40,2000,750,7,7290,100000,217,49
6,26,1,21,2,NA,2000,750,7,8470,20000,217,49
6,73,6,21,1,20,2000,750,7,7070,33500,217,49
6,64,6,21,2,20,2000,750,7,7070,33500,217,49
6,40,1,22,1,40,2005,750,7,7380,72000,217,49
6,55,6,20,1,20,1989,750,5,770,14400,217,49
6,58,8,20,2,NA,1990,750,6,8880,0,217,49
6,21,NA,19,1,NA,2010,750,7,NA,0,217,49
6,51,1,16,2,4,2000,750,7,7390,10000,217,49
6,49,1,22,1,40,1982,750,5,3370,120000,217,49
6,45,NA,21,2,NA,1992,750,6,NA,0,217,49
6,47,1,18,1,70,1975,750,4,4690,37000,217,49
6,54,NA,19,2,NA,2002,750,7,NA,0,217,49
6,20,1,16,2,NA,2002,750,7,5170,0,217,49
6,39,1,22,1,40,1991,750,6,3365,174000,217,49
6,39,1,22,2,NA,1996,750,6,8560,0,217,49
6,18,1,19,1,30,1998,750,6,7070,4000,217,49
6,33,6,22,2,35,1980,750,5,7070,50000,217,49
6,20,2,21,2,20,2002,750,7,9160,12000,217,49
6,35,1,20,1,20,2004,750,7,5080,36000,217,49
6,73,NA,23,2,NA,1967,750,3,NA,53000,217,49
6,87,NA,20,2,NA,1976,750,4,NA,10000,217,49
6,50,1,21,2,50,1978,750,4,7590,97000,217,49
6,41,1,22,2,50,1988,750,5,6990,80000,217,49
6,36,7,21,1,40,1997,750,6,6890,4200,217,49
6,53,NA,16,2,NA,1980,750,5,NA,0,217,49
6,23,1,18,1,40,2011,999,7,7860,30000,217,49
6,89,NA,16,1,NA,1976,750,4,NA,17700,217,49
6,87,NA,16,2,NA,1974,750,4,NA,17000,217,49
6,31,1,16,1,40,1996,750,6,1680,27600,217,49
6,31,NA,19,2,NA,2006,750,7,NA,10000,217,49
6,36,1,19,1,40,1992,750,6,5170,5000,217,49
6,71,NA,20,1,NA,1983,750,5,NA,7000,217,49
6,67,NA,20,2,NA,1982,750,5,NA,7200,217,49
6,67,NA,16,1,NA,1981,750,5,NA,10700,217,49
6,2,NA,NA,1,NA,2012,750,7,NA,NA,217,49
6,56,9,16,2,NA,1978,750,4,9920,0,217,49
6,57,6,16,1,40,1980,750,5,770,36000,217,49
6,20,NA,19,2,NA,2006,750,7,NA,0,217,49
6,25,1,16,1,40,2000,750,7,7380,40000,217,49
6,45,1,20,2,13,1986,750,5,4080,9500,217,49
6,45,6,16,1,30,1986,750,5,7770,20000,217,49
6,60,6,12,2,40,1974,750,4,770,22400,217,49
6,56,1,12,1,40,1996,750,6,770,19000,217,49
6,20,9,19,1,NA,2009,750,7,9920,12000,217,49
6,24,9,19,2,NA,2007,750,7,9920,12000,217,49
6,72,2,24,1,1,1990,750,6,7780,10020,217,49
6,72,NA,22,2,NA,2000,750,7,NA,2400,217,49
6,42,2,22,2,40,1990,750,6,8190,111000,217,49
6,32,1,22,1,40,2008,750,7,7460,29500,217,49
6,31,NA,22,2,NA,2009,750,7,NA,0,217,49
6,78,NA,21,2,NA,1983,750,5,NA,9600,217,49
6,18,4,19,2,7,2002,750,7,7870,2500,217,49
6,82,2,21,2,NA,1969,750,3,8190,51100,217,49
6,89,NA,21,1,NA,1969,750,3,NA,27300,217,49
6,33,1,21,1,50,1980,750,5,3390,90000,217,49
6,47,1,19,2,40,1968,750,3,5490,90200,217,49
6,75,6,16,1,NA,1985,750,5,9070,12000,217,49
6,75,6,16,2,NA,1985,750,5,9070,7200,217,49
6,53,1,16,1,45,1998,750,6,5080,30000,217,49
6,27,9,22,2,NA,2000,750,7,9920,0,217,49
6,25,1,19,2,35,2000,750,7,4265,16800,217,49
6,37,1,21,2,36,1977,750,4,8190,95000,217,49
6,42,1,21,2,45,2009,750,7,4590,120300,217,49
6,16,NA,14,2,NA,2009,750,7,NA,0,217,49
6,15,NA,12,1,NA,2009,750,7,NA,0,217,49
6,55,2,21,2,40,1981,750,5,9160,6000,217,49
6,55,7,21,1,40,1979,750,4,4585,90000,217,49
6,52,8,21,2,16,1981,750,5,4585,36600,217,49
6,65,2,23,1,40,1973,750,4,7870,24500,217,49
6,63,6,23,2,4,1974,750,4,7890,5000,217,49
6,84,NA,21,1,NA,1993,750,6,NA,10200,217,49
6,26,1,21,1,60,1986,750,5,7380,110100,217,49
6,27,1,21,2,40,1993,750,6,7380,20000,217,49
6,79,NA,16,2,NA,1985,750,5,NA,13600,217,49
6,64,7,21,1,40,1983,795,5,6290,85000,217,49
6,58,7,16,2,25,1983,795,5,6290,30000,217,49
6,43,1,21,1,60,1993,750,6,6890,200000,217,49
6,40,2,21,2,NA,1980,750,5,9160,0,217,49
6,52,2,19,1,NA,1989,750,5,1680,15000,217,49
6,45,1,19,2,40,1992,750,6,4390,12000,217,49
6,48,NA,15,1,NA,1994,750,6,NA,0,217,49
6,66,6,21,1,40,1994,750,6,770,106000,217,49
6,55,7,16,1,20,2013,750,7,6170,12500,217,49
6,54,NA,21,2,NA,2013,750,7,NA,2400,217,49
6,34,6,19,2,30,1993,750,6,7370,12000,217,49
6,71,NA,22,1,NA,1973,750,4,NA,8400,217,49
6,67,NA,16,2,NA,1975,750,4,NA,8400,217,49
6,40,NA,24,1,NA,2007,750,7,NA,0,217,49
6,76,NA,16,2,NA,1993,750,6,NA,8400,217,49
6,66,7,21,1,30,1971,750,4,8680,52000,217,49
6,62,1,21,2,40,1975,750,4,8190,100000,217,49
6,53,7,18,2,62,1980,750,5,8680,32400,217,49
6,33,1,19,1,50,1994,750,6,1680,230000,217,49
6,34,NA,16,2,NA,1994,750,6,NA,0,217,49
6,74,NA,21,1,NA,1983,750,5,NA,8460,217,49
6,76,2,21,2,16,1976,750,4,4470,54950,217,49
6,47,1,16,1,40,1987,750,5,4970,16000,217,49
6,41,1,19,2,36,1998,750,6,8190,20000,217,49
6,56,8,21,2,30,1978,750,4,5790,7500,217,49
6,43,1,21,2,40,1986,750,5,6870,40000,217,49
6,39,1,22,1,48,2012,750,7,6470,30000,217,49
6,39,1,22,2,45,2012,750,7,3970,15000,217,49
6,8,NA,4,2,NA,2012,750,7,NA,NA,217,49
6,30,1,22,2,40,1986,750,5,7970,52000,217,49
6,39,2,19,1,40,1981,750,5,8190,108080,217,49
6,32,NA,19,2,NA,2002,750,7,NA,0,217,49
6,57,7,21,1,6,1979,750,4,4470,5000,217,49
6,54,4,19,2,NA,1979,750,4,9480,0,217,49
6,72,NA,21,1,NA,1988,750,5,NA,2000,217,49
6,70,NA,20,2,NA,1988,750,5,NA,2000,217,49
6,30,1,19,2,NA,1995,750,6,5070,0,217,49
6,22,NA,16,2,NA,2013,750,7,NA,0,217,49
6,28,1,21,2,40,1994,750,6,7570,49000,217,49
6,57,NA,21,2,NA,1994,750,6,NA,0,217,49
6,43,1,19,2,28,1993,750,6,8680,12000,217,49
6,48,6,19,1,36,1985,750,5,9070,36000,217,49
6,55,6,21,1,60,1984,750,5,4970,36000,217,49
6,22,NA,19,1,NA,2005,750,7,NA,0,217,49
6,50,4,24,1,60,1967,750,3,7870,142600,217,49
6,50,NA,21,2,NA,1984,750,5,NA,0,217,49
6,69,6,21,1,NA,1988,999,5,1680,19500,217,49
6,58,6,21,2,50,1988,750,5,1680,35000,217,49
6,55,6,21,2,50,1980,750,5,8470,25000,217,49
6,80,NA,24,1,NA,1976,750,4,NA,7200,217,49
6,72,NA,20,1,NA,1967,750,3,NA,6000,217,49
6,70,NA,20,2,NA,1967,750,3,NA,7200,217,49
6,40,2,24,2,40,1997,750,6,8090,10000,217,49
6,26,NA,12,2,NA,2007,750,7,NA,0,217,49
6,62,1,21,1,NA,1969,750,3,7290,7300,217,49
6,61,1,21,2,40,1971,750,4,7070,75000,217,49
6,73,NA,9,2,NA,1985,750,5,NA,8800,217,49
6,67,1,22,1,NA,1976,750,4,4265,15600,217,49
6,58,1,19,1,40,1980,750,5,4795,33700,217,49
